mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4360024452209473,0.019992171821557173,0.012500143051147461,0.0015111134351564089,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.9791666666666666,0.9583333333333334,0.9616724738675958,0.9895470383275261,0.9512195121951219,0.9679878048780488,0.01417064122683014,33
0.779738473892212,0.011198531353851795,0.02310605049133301,0.006976931398216903,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.9791666666666666,0.9618055555555556,0.9616724738675958,0.9895470383275261,0.9686411149825784,0.9721665698799846,0.010779494790209836,15
1.1735724925994873,0.05485533475407344,0.029203367233276368,0.0018678408676197058,10,2,150,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 150}",0.9791666666666666,0.9652777777777778,0.9651567944250871,0.9895470383275261,0.9651567944250871,0.972861014324429,0.009943843658569849,14
1.5701190948486328,0.053417908034544034,0.038294410705566405,0.0007493691058020265,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.9756944444444444,0.96875,0.9651567944250871,0.9895470383275261,0.9721254355400697,0.9742547425474255,0.00840875556381722,3
0.37312541007995603,0.009574578618542582,0.012597036361694337,0.002307363566908947,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.9722222222222222,0.9583333333333334,0.9581881533101045,0.9860627177700348,0.9651567944250871,0.9679926442121565,0.010410468395296706,30
0.7503851890563965,0.00690409485359559,0.020411252975463867,0.0014947782901596712,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.9722222222222222,0.9652777777777778,0.9581881533101045,0.9790940766550522,0.9686411149825784,0.9686846689895472,0.00696642945718715,29
1.1380533695220947,0.06854294360824571,0.030106449127197267,0.0019719376301587195,10,5,150,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 150}",0.96875,0.9652777777777778,0.9651567944250871,0.9895470383275261,0.975609756097561,0.9728682733255903,0.009162310128535788,12
1.7408932209014893,0.10215841369231407,0.05060138702392578,0.01338560997066902,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.9722222222222222,0.96875,0.9616724738675958,0.9860627177700348,0.975609756097561,0.9728634339914828,0.008053973647918574,13
0.3636984348297119,0.016018215245112107,0.010904264450073243,0.0007986074704554515,10,10,50,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}",0.96875,0.9618055555555556,0.9616724738675958,0.9790940766550522,0.9477351916376306,0.9638114595431668,0.010246881163853278,36
0.7193597316741943,0.015606993355619006,0.02200908660888672,0.0022787219491669426,10,10,100,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.96875,0.9652777777777778,0.9651567944250871,0.9825783972125436,0.9616724738675958,0.9686870886566007,0.007297446264292534,28
1.064919662475586,0.007905778293797367,0.027185440063476562,0.000979228880223946,10,10,150,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 150}",0.9722222222222222,0.9652777777777778,0.9651567944250871,0.9825783972125436,0.9651567944250871,0.9700783972125435,0.006816689528276527,23
1.4343804359436034,0.025839298355856046,0.03938279151916504,0.003447643866532531,10,10,200,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}",0.96875,0.9652777777777778,0.9616724738675958,0.9895470383275261,0.9651567944250871,0.9700808168795974,0.009987194450699628,22
0.4092998504638672,0.01645321632146098,0.012992954254150391,0.003031326894342764,20,2,50,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}",0.9756944444444444,0.96875,0.9547038327526133,0.9895470383275261,0.9686411149825784,0.9714672861014325,0.011323696952338078,16
0.8076057434082031,0.009718565213059029,0.021991777420043945,0.0030456347558356464,20,2,100,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",0.9791666666666666,0.96875,0.9651567944250871,0.9860627177700348,0.9686411149825784,0.9735554587688734,0.007819180946662091,10
1.1756893634796142,0.01076743131064225,0.0313875675201416,0.0028670448189581435,20,2,150,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 150}",0.96875,0.96875,0.9651567944250871,0.9825783972125436,0.9686411149825784,0.9707752613240418,0.00606034874516623,18
1.5732548713684082,0.027060620316682875,0.04027996063232422,0.0029251435636527706,20,2,200,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",0.9756944444444444,0.96875,0.9616724738675958,0.9860627177700348,0.975609756097561,0.9735578784359273,0.00811818526305572,8
0.3801158905029297,0.010169334984792281,0.01179814338684082,0.0016910054029318977,20,5,50,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 50}",0.9756944444444444,0.9722222222222222,0.9651567944250871,0.9825783972125436,0.9581881533101045,0.9707680023228804,0.008433365522720337,20
0.7367434978485108,0.00882681436718783,0.0203885555267334,0.0014958093252493568,20,5,100,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",0.9722222222222222,0.96875,0.9616724738675958,0.9930313588850174,0.9721254355400697,0.9735602981029811,0.010463563623410733,6
1.1186895370483398,0.01238984877156784,0.02858452796936035,0.0010193372746396475,20,5,150,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 150}",0.9791666666666666,0.9652777777777778,0.9651567944250871,0.9895470383275261,0.9721254355400697,0.9742547425474255,0.009229017430074534,3
